type,category,date,index
output,industrial_crops,2025-08-01,126.4179236123135
output,oilseed_rape,2025-08-01,119.67835543461757
output,sugar_beet,2025-08-01,165.4520871824276
output,forage_plants,2025-08-01,131.18686286267817
output,straw,2025-08-01,131.18686286267817
output,fresh_vegetables,2025-08-01,142.83253519056194
output,cauliflowers,2025-08-01,173.34831489925168
output,tomatoes,2025-08-01,139.8714459769257
output,cabbages,2025-08-01,119.3113564561089
output,lettuce,2025-08-01,116.52221783670244
output,carrots,2025-08-01,110.14237000360738
output,onions,2025-08-01,127.07568768160456
output,beans_green,2025-08-01,144.33295170392537
output,mushrooms,2025-08-01,116.70907456961963
output,flowers_and_plants,2025-08-01,115.72517872857307
output,potatoes,2025-08-01,182.85016230859554
output,fresh_fruit,2025-08-01,115.53273809526132
output,dessert_apples,2025-08-01,135.52354589677043
output,dessert_pears,2025-08-01,152.61284525694364
output,strawberries,2025-08-01,109.64399166511316
output,cooking_apples,2025-08-01,94.28714573826026
output,raspberries,2025-08-01,122.72212021439124
output,other_crop_products,2025-08-01,99.99999999644285
output,animals_and_animal_products,2025-08-01,153.79426526684017
output,animals_for_slaughter_export,2025-08-01,151.00093380037282
output,cattle_and_calves,2025-08-01,196.4264613101558
output,cattle_clean,2025-08-01,191.15595323842604
output,cows_and_bulls,2025-08-01,219.65124860019074
output,calves,2025-08-01,239.74286265670693
output,pigs,2025-08-01,128.91820189668647
output,pigs_clean,2025-08-01,129.17037722803116
output,sows_and_boars,2025-08-01,116.51658686077768
output,sheep_and_lambs,2025-08-01,154.745666501239
output,sheep_and_lambs_clean,2025-08-01,154.29656396442476
output,ewes_and_rams,2025-08-01,159.8747776025848
output,all_poultry,2025-08-01,108.19216541676015
output,chickens,2025-08-01,109.17968919350494
output,turkeys,2025-08-01,100
output,animal_products,2025-08-01,158.09647446443788
output,milk,2025-08-01,155.95445958138038
output,eggs,2025-08-01,177.0836485873226
output,intensive_eggs,2025-08-01,174.06203265385255
output,free_range_eggs,2025-08-01,178.42048468851175
output,wool_clip,2025-08-01,169.0322580645161
output,all_agricultural_outputs,2025-08-01,142.5885009329161
input,all_goods_and_services_currently_consumed_in_agriculture,2025-08-01,125.89085453609123
input,seeds_input,2025-08-01,105.00841601638983
input,energy_and_lubricants,2025-08-01,142.9160279449158
input,electricity,2025-08-01,152.37080447522644
input,fuels_for_heating,2025-08-01,161.10850164396427
input,motor_fuels,2025-08-01,136.70450851748728
input,fertilisers_and_soil_improvers,2025-08-01,176.23167720912429
input,straight_fertilisers,2025-08-01,170.32097850636396
input,straight_fertilisers_nitrogenous,2025-08-01,170.89222779363274
input,straight_fertilisers_phosphatic,2025-08-01,205.6170788328857
input,straight_fertilisers_potassic,2025-08-01,145.4065648444985
input,compound_fertilisers,2025-08-01,205.963653972745
input,other_fertilisers_and_soil_improvers,2025-08-01,116.08116953960288
input,plant_protection_products,2025-08-01,96.92129435234457
input,fungicides,2025-08-01,85.1164626310078
input,insecticides,2025-08-01,84.75218137942203
input,herbicides,2025-08-01,98.67136000924313
input,other_plant_protection_products,2025-08-01,149.34688458645311
input,veterinary_services,2025-08-01,119.59900634995859
input,animal_feedingstuffs,2025-08-01,115.17727910059345
input,straight_feedingstuffs,2025-08-01,98.6604756299647
input,cereal_and_milling_by_products,2025-08-01,103.95918679575936
input,oilcakes,2025-08-01,88.68519618783041
input,soya_bean_meal,2025-08-01,86.02160085361369
input,sunflower_seed_meal,2025-08-01,97.13869772803919
input,rape_seed_meal,2025-08-01,89.04386317364383
input,products_of_animal_origin_including_white_fish_meal,2025-08-01,115.66935463715919
input,other_straights,2025-08-01,101.70753776929597
input,field_peas,2025-08-01,103.89165021946258
input,field_beans,2025-08-01,100.97290091665833
input,soya_beans,2025-08-01,89.570279262162
input,compound_feedingstuffs,2025-08-01,123.29600957178364
input,compound_feedingstuffs_for_cattle_and_calves,2025-08-01,125.94475347858877
input,compound_feedingstuffs_for_pigs,2025-08-01,116.94203713936923
input,compound_feedingstuffs_for_poultry,2025-08-01,123.42331061732435
input,compound_feedingstuffs_for_sheep,2025-08-01,128.92540876794007
input,maintenance_of_materials,2025-08-01,134.21154855888722
input,maintenance_of_buildings,2025-08-01,139.62600178094388
input,other_goods_and_services,2025-08-01,122.71218800843099
input,goods_and_services_contributing_to_investment,2025-08-01,131.953590894984
input,materials,2025-08-01,127.35126911468404
input,machinery_and_other_equipment,2025-08-01,134.35857482922705
input,plant_and_machinery_for_cultivation,2025-08-01,130.07518796992477
input,farm_machinery_and_installations,2025-08-01,150.15709302874404
input,transport_equipment,2025-08-01,121.76672130068609
input,tractors,2025-08-01,122.06864419940982
input,other_vehicles,2025-08-01,120.53070483122444
input,buildings,2025-08-01,141.83318429470046
input,all_agricultural_inputs,2025-08-01,126.97945268730112
output,crop_products,2025-07-01,119.57816723615804
output,cereals,2025-07-01,106.17394076445973
output,wheat,2025-07-01,103.6431891162955
output,wheat_breadmaking,2025-07-01,107.85464468181087
output,wheat_other_milling,2025-07-01,103.08143499736144
output,wheat_feeding,2025-07-01,100.94299305634425
output,barley,2025-07-01,110.82949293610439
output,barley_feeding,2025-07-01,109.0115368477402
output,barley_malting,2025-07-01,114.16632109529547
output,oats,2025-07-01,106.67183370659026
output,oats_milling,2025-07-01,106.47641288562812
output,oats_feeding,2025-07-01,112.66667324793633
output,industrial_crops,2025-07-01,126.30455092063228
output,oilseed_rape,2025-07-01,119.24113563918127
output,sugar_beet,2025-07-01,165.4520871824276
output,forage_plants,2025-07-01,125.78993496009964
output,straw,2025-07-01,125.78993496009964
output,fresh_vegetables,2025-07-01,130.98112054143166
output,cauliflowers,2025-07-01,97.17378853862641
output,tomatoes,2025-07-01,136.34022401950827
output,cabbages,2025-07-01,125.91178707884514
output,lettuce,2025-07-01,113.03106703074951
output,carrots,2025-07-01,120.5563128464657
output,onions,2025-07-01,139.48910991821035
output,beans_green,2025-07-01,129.7923466255129
output,mushrooms,2025-07-01,116.70907456961963
output,flowers_and_plants,2025-07-01,115.72517872857307
output,potatoes,2025-07-01,151.232566179884
output,fresh_fruit,2025-07-01,117.87526282955858
output,dessert_apples,2025-07-01,121.34484871703066
