date,display_name,price
2023-07-14,Beetroot,1.09
2023-07-21,Beetroot,1.0
2023-07-28,Beetroot,0.92
2023-08-04,Beetroot,0.92
2023-08-11,Beetroot,0.85
2023-08-18,Beetroot,0.81
2023-08-25,Beetroot,0.82
2023-09-01,Beetroot,0.69
2023-09-08,Beetroot,0.68
2023-09-15,Beetroot,0.68
2023-09-22,Beetroot,0.74
2023-09-29,Beetroot,0.68
2023-10-06,Beetroot,0.75
2023-10-13,Beetroot,0.68
2023-10-20,Beetroot,0.67
2023-10-27,Beetroot,0.67
2023-11-03,Beetroot,0.67
2023-11-10,Beetroot,0.64
2023-11-17,Beetroot,0.76
2023-11-24,Beetroot,0.64
2023-12-01,Beetroot,0.64
2023-12-08,Beetroot,0.65
2023-12-15,Beetroot,0.65
2024-01-12,Beetroot,0.67
2024-01-19,Beetroot,0.66
2024-01-26,Beetroot,0.63
2024-02-02,Beetroot,0.65
2024-02-09,Beetroot,0.64
2024-02-16,Beetroot,0.67
2024-02-23,Beetroot,0.66
2024-03-01,Beetroot,0.66
2024-03-08,Beetroot,0.63
2024-03-15,Beetroot,0.65
2024-03-22,Beetroot,0.61
2024-03-29,Beetroot,0.62
2024-04-05,Beetroot,0.68
2024-04-12,Beetroot,0.65
2024-04-19,Beetroot,0.67
2024-04-26,Beetroot,0.67
2024-05-03,Beetroot,0.66
2024-05-10,Beetroot,0.67
2024-05-17,Beetroot,0.71
2024-05-24,Beetroot,0.68
2024-05-31,Beetroot,0.73
2024-06-07,Beetroot,0.75
2024-06-14,Beetroot,0.75
2024-06-21,Beetroot,0.83
2024-06-28,Beetroot,0.85
2024-07-05,Beetroot,0.77
2024-07-12,Beetroot,0.79
2024-07-19,Beetroot,0.75
2024-07-26,Beetroot,0.83
2024-08-02,Beetroot,0.77
2024-08-09,Beetroot,0.77
2024-08-16,Beetroot,0.74
2024-08-23,Beetroot,0.68
2024-08-30,Beetroot,0.67
2024-09-06,Beetroot,0.69
2024-09-13,Beetroot,0.69
2024-09-20,Beetroot,0.68
2024-09-27,Beetroot,0.67
2024-10-04,Beetroot,0.63
2024-10-11,Beetroot,0.63
2024-10-18,Beetroot,0.6942857142857141
2024-10-25,Beetroot,0.65
2024-11-01,Beetroot,0.67
2024-11-08,Beetroot,0.65
2024-11-15,Beetroot,0.63
2024-11-22,Beetroot,0.62
2024-11-29,Beetroot,0.64
2024-12-06,Beetroot,0.6660000000000001
2024-12-13,Beetroot,0.65
2024-12-20,Beetroot,0.68
2025-01-20,Beetroot,0.68
2025-02-03,Beetroot,0.69
2025-02-17,Beetroot,0.7
2025-03-03,Beetroot,0.66
2025-03-17,Beetroot,0.65
2025-03-31,Beetroot,0.72
2025-04-14,Beetroot,0.7
2025-04-28,Beetroot,0.71
2025-05-12,Beetroot,0.72
2025-05-26,Beetroot,0.72
2025-06-09,Beetroot,0.75
2025-06-23,Beetroot,0.73
2025-07-07,Beetroot,0.88
2025-07-21,Beetroot,0.87
2025-08-04,Beetroot,0.87
2025-08-18,Beetroot,0.76
2025-09-01,Beetroot,0.78
2025-09-15,Beetroot,0.74
2025-09-29,Beetroot,0.73
2025-10-13,Beetroot,0.7
2025-10-27,Beetroot,0.76
2025-11-10,Beetroot,0.7
2025-11-24,Beetroot,0.7
2025-12-08,Beetroot,0.69
2025-12-22,Beetroot,0.720090909090909
2026-01-19,Beetroot,0.76
2026-02-02,Beetroot,0.71
2026-02-16,Beetroot,0.73
2015-01-09,Bulb Onions (Red),0.442
2015-01-16,Bulb Onions (Red),0.4315283018867925
2015-01-23,Bulb Onions (Red),0.4319767441860465
2015-01-30,Bulb Onions (Red),0.5057878787878788
2015-02-06,Bulb Onions (Red),0.45190909090909087
2015-02-13,Bulb Onions (Red),0.42509090909090913
2015-02-20,Bulb Onions (Red),0.4417567567567568
2015-02-27,Bulb Onions (Red),0.43289189189189187
2015-03-06,Bulb Onions (Red),0.429972972972973
2015-03-13,Bulb Onions (Red),0.467
2015-03-20,Bulb Onions (Red),0.35795081967213116
2015-03-27,Bulb Onions (Red),0.3791960784313726
2015-04-03,Bulb Onions (Red),0.3856666666666667
2015-04-10,Bulb Onions (Red),0.3951960784313726
2015-04-17,Bulb Onions (Red),0.4169512195121951
2015-04-24,Bulb Onions (Red),0.4328510638297873
2015-05-01,Bulb Onions (Red),0.41831914893617017
2015-05-08,Bulb Onions (Red),0.4238235294117647
2015-05-15,Bulb Onions (Red),0.4332105263157895
2015-05-22,Bulb Onions (Red),0.43815789473684214
2015-05-29,Bulb Onions (Red),0.4437368421052632
2015-06-05,Bulb Onions (Red),0.4860188679245283
2015-06-12,Bulb Onions (Red),0.5058867924528302
2015-06-19,Bulb Onions (Red),0.4855813953488372
2015-06-26,Bulb Onions (Red),0.41725
2015-07-03,Bulb Onions (Red),0.4215217391304348
2015-07-10,Bulb Onions (Red),0.4622666666666667
2015-07-17,Bulb Onions (Red),0.474
2015-07-24,Bulb Onions (Red),0.43320000000000003
2015-07-31,Bulb Onions (Red),0.48
2015-08-07,Bulb Onions (Red),0.6
2015-08-14,Bulb Onions (Red),0.453125
2015-08-21,Bulb Onions (Red),0.4444230769230769
2015-08-28,Bulb Onions (Red),0.4830952380952381
2015-09-04,Bulb Onions (Red),0.48174999999999996
2015-09-11,Bulb Onions (Red),0.4885909090909092
2015-09-18,Bulb Onions (Red),0.45131578947368417
2015-09-25,Bulb Onions (Red),0.46521052631578946
2015-10-02,Bulb Onions (Red),0.443448275862069
2015-10-09,Bulb Onions (Red),0.525
2015-10-16,Bulb Onions (Red),0.4784426229508197
2015-10-23,Bulb Onions (Red),0.4666393442622951
2015-10-30,Bulb Onions (Red),0.45024590163934425
