model,term,estimate,std_err,t_stat,p_value,conf_lo,conf_hi,significant
Cucumbers — Dummies only,shock_2021q4_2023q1,0.278056,0.077994,3.5651,4e-4,0.125188,0.430923,TRUE
Cucumbers — Dummies only,post_shock,0.204373,0.071234,2.8691,0.0041,0.064756,0.343991,TRUE
Strawberries — Full xreg,ar1,0.574428,0.123692,4.644,0,0.331993,0.816864,TRUE
Strawberries — Full xreg,ma1,-1.127953,0.118799,-9.4946,0,-1.360799,-0.895108,TRUE
Strawberries — Full xreg,ma2,0.241599,0.108383,2.2291,0.0258,0.029167,0.454031,TRUE
Strawberries — Full xreg,ma3,0.064881,0.086249,0.7522,0.4519,-0.104168,0.23393,FALSE
Strawberries — Full xreg,ma4,-0.178526,0.072837,-2.451,0.0142,-0.321287,-0.035765,TRUE
Strawberries — Full xreg,api_energy_and_lubricants,0.058386,0.037533,1.5556,0.1198,-0.015178,0.131951,FALSE
Strawberries — Full xreg,api_fertilisers_and_soil_improvers,-0.011577,0.010716,-1.0803,0.28,-0.03258,0.009427,FALSE
Strawberries — Full xreg,api_plant_protection_products,-0.002765,0.035367,-0.0782,0.9377,-0.072084,0.066555,FALSE
Strawberries — Full xreg,api_fresh_fruit,0.03252,0.015761,2.0633,0.0391,0.001627,0.063412,TRUE
Strawberries — Full xreg,api_fresh_vegetables,0.020045,0.032156,0.6234,0.5331,-0.042981,0.083071,FALSE
Strawberries — Full xreg,fuel_petrol_price,0.046512,0.052113,0.8925,0.3721,-0.055629,0.148654,FALSE
Strawberries — Full xreg,fuel_diesel_price,-0.041752,0.038836,-1.0751,0.2823,-0.117872,0.034367,FALSE
Strawberries — Full xreg,sppi_road_freight,-0.087644,0.058446,-1.4996,0.1337,-0.202198,0.02691,FALSE
Strawberries — Full xreg,shock_2021q4_2023q1,-1.15659,1.081373,-1.0696,0.2848,-3.276081,0.962901,FALSE
Strawberries — Full xreg,post_shock,-1.052363,1.358977,-0.7744,0.4387,-3.715958,1.611232,FALSE
Strawberries — Dummies only,ar1,0.52508,0.114277,4.5948,0,0.301097,0.749064,TRUE
Strawberries — Dummies only,ma1,-1.098042,0.115594,-9.4991,0,-1.324607,-0.871477,TRUE
Strawberries — Dummies only,ma2,0.262021,0.10814,2.423,0.0154,0.050066,0.473976,TRUE
Strawberries — Dummies only,ma3,0.079315,0.084988,0.9332,0.3507,-0.087262,0.245892,FALSE
Strawberries — Dummies only,ma4,-0.211276,0.066715,-3.1669,0.0015,-0.342036,-0.080515,TRUE
Strawberries — Dummies only,shock_2021q4_2023q1,0.178634,0.791336,0.2257,0.8214,-1.372384,1.729652,FALSE
Strawberries — Dummies only,post_shock,0.125003,0.998513,0.1252,0.9004,-1.832082,2.082089,FALSE
Tomatoes (Round) — Full xreg,ar1,-0.250561,0.065748,-3.8109,1e-4,-0.379426,-0.121696,TRUE
Tomatoes (Round) — Full xreg,ar2,0.698321,0.058926,11.8509,0,0.582827,0.813815,TRUE
Tomatoes (Round) — Full xreg,ma1,-0.021234,0.03892,-0.5456,0.5854,-0.097517,0.055049,FALSE
Tomatoes (Round) — Full xreg,ma2,-0.978765,0.038872,-25.179,0,-1.054955,-0.902575,TRUE
Tomatoes (Round) — Full xreg,api_energy_and_lubricants,0.012935,0.007857,1.6463,0.0997,-0.002465,0.028334,FALSE
Tomatoes (Round) — Full xreg,api_fertilisers_and_soil_improvers,-0.001549,0.0022,-0.7042,0.4813,-0.00586,0.002762,FALSE
Tomatoes (Round) — Full xreg,api_plant_protection_products,-0.006147,0.008158,-0.7534,0.4512,-0.022136,0.009843,FALSE
Tomatoes (Round) — Full xreg,api_fresh_fruit,0.007811,0.003671,2.1274,0.0334,6.15e-4,0.015007,TRUE
Tomatoes (Round) — Full xreg,api_fresh_vegetables,-0.004888,0.006949,-0.7034,0.4818,-0.018507,0.008732,FALSE
Tomatoes (Round) — Full xreg,fuel_petrol_price,0.033785,0.011668,2.8955,0.0038,0.010916,0.056655,TRUE
Tomatoes (Round) — Full xreg,fuel_diesel_price,-0.028375,0.008658,-3.2773,0.001,-0.045344,-0.011405,TRUE
Tomatoes (Round) — Full xreg,sppi_road_freight,0.024069,0.014185,1.6968,0.0897,-0.003734,0.051871,FALSE
Tomatoes (Round) — Full xreg,shock_2021q4_2023q1,-0.878195,0.238577,-3.681,2e-4,-1.345806,-0.410584,TRUE
