model,term,estimate,std_err,t_stat,p_value,conf_lo,conf_hi,significant
Strawberries — Dummies only,ar1,0.52508,0.114277,4.5948,0,0.301097,0.749064,TRUE
Strawberries — Dummies only,ma1,-1.098042,0.115594,-9.4991,0,-1.324607,-0.871477,TRUE
Strawberries — Dummies only,ma2,0.262021,0.10814,2.423,0.0154,0.050066,0.473976,TRUE
Strawberries — Dummies only,ma3,0.079315,0.084988,0.9332,0.3507,-0.087262,0.245892,FALSE
Strawberries — Dummies only,ma4,-0.211276,0.066715,-3.1669,0.0015,-0.342036,-0.080515,TRUE
Strawberries — Dummies only,shock_2021q4_2023q1,0.178634,0.791336,0.2257,0.8214,-1.372384,1.729652,FALSE
Strawberries — Dummies only,post_shock,0.125003,0.998513,0.1252,0.9004,-1.832082,2.082089,FALSE
Tomatoes (Round) — Full xreg,ar1,-0.250561,0.065748,-3.8109,1e-4,-0.379426,-0.121696,TRUE
Tomatoes (Round) — Full xreg,ar2,0.698321,0.058926,11.8509,0,0.582827,0.813815,TRUE
Tomatoes (Round) — Full xreg,ma1,-0.021234,0.03892,-0.5456,0.5854,-0.097517,0.055049,FALSE
Tomatoes (Round) — Full xreg,ma2,-0.978765,0.038872,-25.179,0,-1.054955,-0.902575,TRUE
Tomatoes (Round) — Full xreg,api_energy_and_lubricants,0.012935,0.007857,1.6463,0.0997,-0.002465,0.028334,FALSE
Tomatoes (Round) — Full xreg,api_fertilisers_and_soil_improvers,-0.001549,0.0022,-0.7042,0.4813,-0.00586,0.002762,FALSE
Tomatoes (Round) — Full xreg,api_plant_protection_products,-0.006147,0.008158,-0.7534,0.4512,-0.022136,0.009843,FALSE
